,scene_name,avg_inv_psnr,std_inv_psnr,weighted_avg_inv_psnr,pair_density,coverage_score,mean_cos_sim,view_spread_angle,image_variance_avg,true_psnr,Layers,Feat,n_sample,Lr ,STD
0,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,4,64,16,0.0002,0.14
1,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,4,64,16,0.0001,0.12
2,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,4,64,16,0.0001,0.12
3,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,4,64,16,0.0001,0.12
4,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,4,64,16,0.0001,0.12
5,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,4,128,16,0.0001,0.14
6,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,4,128,16,0.0001,0.14
7,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,4,128,16,0.0001,0.14
8,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,6,128,16,0.0001,0.12
9,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,6,128,16,0.0002,0.0
10,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,6,128,16,0.0002,0.14
11,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,6,128,16,0.0001,0.0
12,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,6,128,16,0.0002,0.12
13,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,6,128,16,0.0001,0.14
14,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,10,256,32,0.0005,0.0
15,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,10,256,32,0.0005,0.0
16,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,10,256,32,0.0005,0.0
17,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,6,256,16,0.0005,0.12
18,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,6,256,64,0.0005,0.0
19,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,10,256,16,0.0002,0.0
20,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,10,256,16,0.0002,0.0
21,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,10,256,16,0.0002,0.0
22,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,6,256,16,0.0005,0.0
23,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,6,256,72,0.0005,0.0
24,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,6,256,32,0.0005,0.12
25,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,6,256,64,0.0005,0.12
26,JAX_178,0.06426912252690926,0.004194301336929517,0.06441969944401424,0.3333333333333333,1.0,0.9712223313645217,58.817532311678335,0.026560694,19.058886,10,256,32,0.0002,0.0
27,JAX_168,0.0685313225283947,0.005670787733472484,0.06891546684877226,0.3333333333333333,1.0,0.9711932176003677,58.826831282123294,0.033180404,18.028658,4,64,16,0.0002,0.12
28,JAX_168,0.0685313225283947,0.005670787733472484,0.06891546684877226,0.3333333333333333,1.0,0.9711932176003677,58.826831282123294,0.033180404,18.028658,6,128,16,0.0001,0.12
